rs_type,rs_ref,rs_text,citation_tree,citable_unit_cite_type,citable_unit_id,document_uri
person,gnd-118538969,Salomon Geßner,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-11701348X,J.J. Hottinger,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-116782544,Adolf Frey,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-118567780,Kürschnersche,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
organisation,gnd-500580-2,Künstlergesellschaft,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-116782544,Frey,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-118634496,Wölfflin,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-118634496,Wölfflins,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-117373192,Emil Sulger,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-118731890,Matthison,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-118731890,Matthisons,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
person,gnd-118538969,Geßner,published_page,page,s03-pg85,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-pg85&tree=published_page
