rs_type,rs_ref,rs_text,citation_tree,citable_unit_cite_type,citable_unit_id,document_uri
person,gnd-118538969,Geßner,logical_structure,paragraph,s03-ed-ch-1:s03-ed-ch-1-1:s03-ed-ch-1-1-p-9,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-1%3As03-ed-ch-1-1%3As03-ed-ch-1-1-p-9&tree=logical_structure
person,gnd-118538969,Geßners,logical_structure,paragraph,s03-ed-ch-1:s03-ed-ch-1-1:s03-ed-ch-1-1-p-10,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-1%3As03-ed-ch-1-1%3As03-ed-ch-1-1-p-10&tree=logical_structure
person,gnd-118540238,Goethes,logical_structure,paragraph,s03-ed-ch-1:s03-ed-ch-1-1:s03-ed-ch-1-1-p-11,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-1%3As03-ed-ch-1-1%3As03-ed-ch-1-1-p-11&tree=logical_structure
person,gnd-118538969,Geßner,logical_structure,paragraph,s03-ed-ch-1:s03-ed-ch-1-1:s03-ed-ch-1-1-p-11,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-1%3As03-ed-ch-1-1%3As03-ed-ch-1-1-p-11&tree=logical_structure
person,gnd-118538969,Geßners,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-5:s03-ed-ch-2-5-p-4,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-5%3As03-ed-ch-2-5-p-4&tree=logical_structure
person,gnd-118538969,Geßner,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-5:s03-ed-ch-2-5-p-4,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-5%3As03-ed-ch-2-5-p-4&tree=logical_structure
place,gnd-4011882-4,Deutschland,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-5:s03-ed-ch-2-5-p-4,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-5%3As03-ed-ch-2-5-p-4&tree=logical_structure
person,gnd-118540238,Goethe,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-7:s03-ed-ch-2-7-p-3,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-7%3As03-ed-ch-2-7-p-3&tree=logical_structure
person,gnd-118538969,Geßnerschen,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-7:s03-ed-ch-2-7-p-3,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-7%3As03-ed-ch-2-7-p-3&tree=logical_structure
person,gnd-118634496,Wölfflin,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-7:s03-ed-ch-2-7-p-3,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-7%3As03-ed-ch-2-7-p-3&tree=logical_structure
person,gnd-118723499,Kleist,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-7:s03-ed-ch-2-7-p-4,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-7%3As03-ed-ch-2-7-p-4&tree=logical_structure
person,gnd-118538969,Geßner,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-7:s03-ed-ch-2-7-p-4,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-7%3As03-ed-ch-2-7-p-4&tree=logical_structure
person,gnd-118723499,Kleist,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-7:s03-ed-ch-2-7-p-4,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-7%3As03-ed-ch-2-7-p-4&tree=logical_structure
person,gnd-118674315,Bronner,logical_structure,paragraph,s03-ed-ch-2:s03-ed-ch-2-7:s03-ed-ch-2-7-p-5,http://rs4.ethz.ch/dts/document/?resource=https%3A%2F%2Fexample.org%2Fdts%2Fcollections%2Fhwgw%2Fs03%2Fed&ref=s03-ed-ch-2%3As03-ed-ch-2-7%3As03-ed-ch-2-7-p-5&tree=logical_structure
